Model,Category,Run,Latency (ms),TTFB (ms),Resp (KB),Status
Protection Model (/protect),Cold Start,1,91980.23,91664.32,518.1,OK
Cloner Model (/clone),Cold Start,1,24248.18,24086.26,162.1,OK
Protection Model (/protect),Warm Server,1,96044.88,95813.84,518.1,OK
Protection Model (/protect),Warm Server,2,88392.05,87866.81,518.1,OK
Protection Model (/protect),Warm Server,3,92739.44,91833.48,518.1,OK
Protection Model (/protect),Warm Server,4,91956.8,91683.46,518.1,OK
Protection Model (/protect),Warm Server,5,88527.66,87812.57,518.1,OK
Cloner Model (/clone),Warm Server,1,28938.08,28302.29,234.8,OK
Cloner Model (/clone),Warm Server,2,27698.84,27673.76,176.8,OK
Cloner Model (/clone),Warm Server,3,24067.22,23960.63,150.8,OK
Cloner Model (/clone),Warm Server,4,22295.37,22224.96,176.8,OK
Cloner Model (/clone),Warm Server,5,24676.0,24639.84,153.5,OK
