step,total,attack,quality,reg,grad_norm,delta_norm
1,5.272229,0.527223,0.000000,0.000000,1.596051e-10,1.595181e-05
2,10.000000,1.000000,0.000000,0.000000,9.882243e-04,3.761133e-02
3,10.000038,1.000000,0.000001,0.000743,1.046317e-03,3.409142e-02
4,10.000033,1.000000,0.000000,0.000674,1.040819e-03,1.453154e-02
5,7.500014,0.750000,0.000000,0.000287,1.010681e-03,1.350461e-02
6,10.000013,1.000000,0.000000,0.000267,1.009258e-03,2.344909e-02
7,10.000022,1.000000,0.000000,0.000463,1.024660e-03,2.085925e-02
8,10.000021,1.000000,0.000000,0.000412,1.020687e-03,9.266656e-03
9,10.000009,1.000000,0.000000,0.000183,1.002761e-03,9.072964e-03
10,10.000009,1.000000,0.000000,0.000179,1.001950e-03,1.639739e-02
11,10.000015,1.000000,0.000000,0.000324,1.013297e-03,1.493117e-02
12,5.272241,0.527223,0.000000,0.000295,1.011169e-03,6.369973e-03
13,10.000007,1.000000,0.000000,0.000125,9.977578e-04,8.067686e-03
14,10.000007,1.000000,0.000000,0.000159,1.000889e-03,1.380722e-02
15,10.000012,1.000000,0.000000,0.000273,1.009787e-03,1.225554e-02
16,10.000011,1.000000,0.000000,0.000242,1.007373e-03,4.547365e-03
17,5.272236,0.527223,0.000000,0.000089,9.954124e-04,8.481301e-03
18,10.000009,1.000000,0.000000,0.000167,1.001078e-03,1.382848e-02
19,10.000012,1.000000,0.000000,0.000273,1.009371e-03,1.256223e-02
20,7.500012,0.750000,0.000000,0.000248,1.007537e-03,5.568599e-03
